"ID","Forest","NonForest"
3694,17.73,63.27
4315,9,72
4316,52.83,28.17
4317,69.48,11.52
4938,53.19,27.81
4939,78.66,2.34
4940,77.13,3.87
4941,25.38,55.62
5527,11.16,69.84
5528,5.04,75.96
5529,27.54,53.46
5530,48.78,32.22
5531,53.37,27.63
5532,53.64,27.36
5533,53.37,27.63
5534,53.73,27.27
5535,51.12,29.88
5536,53.19,27.81
5537,52.29,28.71
5538,53.46,27.54
5539,52.74,28.26
5540,34.2,46.8
5541,50.13,30.87
5542,47.34,33.66
5543,50.13,30.87
5544,13.68,67.32
5545,26.28,54.72
5546,27,54
5547,26.73,54.27
5548,26.28,54.72
5549,25.74,55.26
5550,26.82,54.18
5551,26.64,54.36
5552,26.64,54.36
5553,26.64,54.36
5554,27,54
5555,11.97,69.03
5556,17.73,63.27
5557,17.37,63.63
5558,26.73,54.27
5559,43.92,37.08
5560,53.19,27.81
5561,70.56,10.44
5562,78.66,2.33999999999999
5563,79.65,1.34999999999998
5564,61.02,19.98
5565,34.83,46.17
5566,8.73,72.27
5567,20.61,60.39
5568,4.86,76.14
5971,10.26,70.74
5972,10.8,70.2
6132,9,72
6148,8.91,72.09
6149,50.4,30.6
6150,20.16,60.84
6151,15.66,65.34
6152,50.76,30.24
6153,55.62,25.38
6154,66.06,14.94
6155,80.1,0.900000000000006
6156,80.82,0.180000000000007
6157,80.1,0.899999999999991
6158,68.94,12.06
6159,61.02,19.98
6160,43.65,37.35
6161,78.93,2.06999999999999
6162,79.83,1.17000000000002
6163,79.11,1.89
6164,62.46,18.54
6165,54.54,26.46
6166,24.3,56.7
6167,12.51,68.49
6168,44.46,36.54
6169,80.73,0.269999999999996
6170,80.55,0.449999999999989
6171,78.39,2.61000000000001
6172,78.03,2.97
6173,79.56,1.44
6174,80.46,0.539999999999992
6175,80.19,0.810000000000002
6176,79.74,1.26000000000001
6177,67.05,13.95
6178,49.68,31.32
6179,71.37,9.63
6180,79.2,1.8
6181,79.2,1.8
6182,79.38,1.61999999999999
6183,79.83,1.16999999999999
6184,78.66,2.33999999999999
6185,79.29,1.70999999999999
6186,79.2,1.8
6187,80.46,0.539999999999992
